                   Art  Sort         Kg.  Gnms. pris         Max        dato  \
90               Torsk   1.0   1.188 kg.   45,88 Kr.   50,86 Kr.  02-11-2020   
91               Torsk   2.0   3.167 kg.   44,56 Kr.   51,13 Kr.  02-11-2020   
92               Torsk   3.0   4.203 kg.   38,03 Kr.   41,52 Kr.  02-11-2020   
93               Torsk   4.0  10.131 kg.   26,20 Kr.   34,73 Kr.  02-11-2020   
94               Torsk   5.0   4.594 kg.   18,53 Kr.   24,19 Kr.  02-11-2020   
95              Tunger   1.0     122 kg.  107,01 Kr.  115,30 Kr.  02-11-2020   
96              Tunger   2.0      99 kg.   87,04 Kr.   90,30 Kr.  02-11-2020   
97              Tunger   3.0      64 kg.   67,14 Kr.   75,00 Kr.  02-11-2020   
98              Tunger   4.0      48 kg.   42,95 Kr.   50,00 Kr.  02-11-2020   
99              Tunger   5.0      33 kg.   32,28 Kr.   35,90 Kr.  02-11-2020   
100              Total   NaN  92.554 kg.         NaN         NaN  02-11-2020   

      auktion  
0    Thyborøn  
1    Thyborøn  
2    Thyborøn  
3    Thyborøn  
4    Thyborøn  
5    Thyborøn  
6    Thyborøn  
7    Thyborøn  
8    Thyborøn  
9    Thyborøn  
10   Thyborøn  
11   Thyborøn  
12   Thyborøn  
13   Thyborøn  
14   Thyborøn  
15   Thyborøn  
16   Thyborøn  
17   Thyborøn  
18   Thyborøn  
19   Thyborøn  
20   Thyborøn  
21   Thyborøn  
22   Thyborøn  
23   Thyborøn  
24   Thyborøn  
25   Thyborøn  
26   Thyborøn  
27   Thyborøn  
28   Thyborøn  
29   Thyborøn  
30   Thyborøn  
31   Thyborøn  
32   Thyborøn  
33   Thyborøn  
34   Thyborøn  
35   Thyborøn  
36   Thyborøn  
37   Thyborøn  
38   Thyborøn  
39   Thyborøn  
40   Thyborøn  
41   Thyborøn  
42   Thyborøn  
43   Thyborøn  
44   Thyborøn  
45   Thyborøn  
46   Thyborøn  
47   Thyborøn  
48   Thyborøn  
49   Thyborøn  
50   Thyborøn  
51   Thyborøn  
52   Thyborøn  
53   Thyborøn  
54   Thyborøn  
55   Thyborøn  
56   Thyborøn  
57   Thyborøn  
58   Thyborøn  
59   Thyborøn  
60   Thyborøn  
61   Thyborøn  
62   Thyborøn  
63   Thyborøn  
64   Thyborøn  
65   Thyborøn  
66   Thyborøn  
67   Thyborøn  
68   Thyborøn  
69   Thyborøn  
70   Thyborøn  
71   Thyborøn  
72   Thyborøn  
73   Thyborøn  
74   Thyborøn  
75   Thyborøn  
76   Thyborøn  
77   Thyborøn  
78   Thyborøn  
79   Thyborøn  
80   Thyborøn  
81   Thyborøn  
82   Thyborøn  
83   Thyborøn  
84   Thyborøn  
85   Thyborøn  
86   Thyborøn  
87   Thyborøn  
88   Thyborøn  
89   Thyborøn  
90   Thyborøn  
91   Thyborøn  
92   Thyborøn  
93   Thyborøn  
94   Thyborøn  
95   Thyborøn  
96   Thyborøn  
97   Thyborøn  
98   Thyborøn  
99   Thyborøn  
100  Thyborøn  
                  Art  Sort         Kg.  Gnms. pris         Max        dato  \
0          Alm hummer   1.0      20 kg.  135,25 Kr.  153,10 Kr.  03-11-2020   
1          Alm hummer   2.0      18 kg.  183,82 Kr.  188,40 Kr.  03-11-2020   
2          Alm hummer   9.0       4 kg.   89,65 Kr.  118,60 Kr.  03-11-2020   
3        Blæksprutter   9.0   1.020 kg.   14,39 Kr.   22,64 Kr.  03-11-2020   
4              Brosme   9.0       3 kg.    2,51 Kr.    2,51 Kr.  03-11-2020   
5             Fjæsing   9.0      19 kg.   18,40 Kr.   18,40 Kr.  03-11-2020   
6       Grå knurhaner   9.0      40 kg.    2,10 Kr.    2,10 Kr.  03-11-2020   
7              Havkat   2.0     115 kg.   42,47 Kr.   44,50 Kr.  03-11-2020   
8              Havkat   3.0      29 kg.   16,62 Kr.   18,60 Kr.  03-11-2020   
9            Havtaske   1.0      33 kg.   27,68 Kr.   31,83 Kr.  03-11-2020   
10           Havtaske   2.0     256 kg.   33,74 Kr.   34,26 Kr.  03-11-2020   
11           Havtaske   3.0     756 kg.   40,51 Kr.   42,00 Kr.  03-11-2020   
