Art,Sort,Kg.,Gnms. pris,Max,dato,auktion
Knurhaner,"9,0",12 kg.,"5,10 Kr.","5,10 Kr.",10-11-2020,Thyborøn
Krabbeklør,"1,0",147 kg.,"58,06 Kr.","71,10 Kr.",10-11-2020,Thyborøn
Krabbeklør,"2,0",168 kg.,"19,83 Kr.","30,60 Kr.",10-11-2020,Thyborøn
Krabbeklør,"3,0",18 kg.,"4,80 Kr.","4,80 Kr.",10-11-2020,Thyborøn
Kuller,"1,0",72 kg.,"27,91 Kr.","31,00 Kr.",10-11-2020,Thyborøn
Kuller,"2,0",189 kg.,"21,23 Kr.","22,64 Kr.",10-11-2020,Thyborøn
Kuller,"3,0",244 kg.,"5,51 Kr.","7,35 Kr.",10-11-2020,Thyborøn
Kuller,"4,0",342 kg.,"3,50 Kr.","3,53 Kr.",10-11-2020,Thyborøn
Kulmule,"0,0",559 kg.,"70,48 Kr.","72,20 Kr.",10-11-2020,Thyborøn
Kulmule,"1,0",1.005 kg.,"50,82 Kr.","52,81 Kr.",10-11-2020,Thyborøn
Kulmule,"2,0",5.396 kg.,"36,85 Kr.","38,65 Kr.",10-11-2020,Thyborøn
Kulmule,"3,0",3.630 kg.,"19,79 Kr.","31,35 Kr.",10-11-2020,Thyborøn
Kulmule,"4,0",267 kg.,"12,16 Kr.","16,01 Kr.",10-11-2020,Thyborøn
Kulmule,"9,0",20 kg.,"19,84 Kr.","19,84 Kr.",10-11-2020,Thyborøn
Langer,"1,0",146 kg.,"26,10 Kr.","26,93 Kr.",10-11-2020,Thyborøn
Langer,"2,0",71 kg.,"26,92 Kr.","27,68 Kr.",10-11-2020,Thyborøn
Langer,"3,0",309 kg.,"17,02 Kr.","19,24 Kr.",10-11-2020,Thyborøn
Lyssej,"1,0",5 kg.,"36,50 Kr.","36,50 Kr.",10-11-2020,Thyborøn
Lyssej,"2,0",14 kg.,"37,70 Kr.","37,70 Kr.",10-11-2020,Thyborøn
Lyssej,"3,0",141 kg.,"32,82 Kr.","34,80 Kr.",10-11-2020,Thyborøn
Lyssej,"4,0",75 kg.,"21,56 Kr.","25,30 Kr.",10-11-2020,Thyborøn
Mørksej,"1,0",77 kg.,"19,98 Kr.","20,23 Kr.",10-11-2020,Thyborøn
Mørksej,"2,0",46 kg.,"21,34 Kr.","21,34 Kr.",10-11-2020,Thyborøn
Mørksej,"3,0",180 kg.,"17,75 Kr.","18,30 Kr.",10-11-2020,Thyborøn
Mørksej,"4,0",305 kg.,"12,52 Kr.","14,50 Kr.",10-11-2020,Thyborøn
Mørksej,"9,0",7 kg.,"8,62 Kr.","8,62 Kr.",10-11-2020,Thyborøn
Pighvar,"0,0",78 kg.,"117,62 Kr.","142,70 Kr.",10-11-2020,Thyborøn
Pighvar,"1,0",152 kg.,"103,63 Kr.","134,20 Kr.",10-11-2020,Thyborøn
Pighvar,"2,0",141 kg.,"101,85 Kr.","117,10 Kr.",10-11-2020,Thyborøn
Pighvar,"3,0",279 kg.,"79,09 Kr.","95,80 Kr.",10-11-2020,Thyborøn
Pighvar,"4,0",147 kg.,"46,72 Kr.","48,30 Kr.",10-11-2020,Thyborøn
Pighvar,"9,0",29 kg.,"22,61 Kr.","23,90 Kr.",10-11-2020,Thyborøn
Rød mulle,"9,0",26 kg.,"35,72 Kr.","36,20 Kr.",10-11-2020,Thyborøn
Rødhaj,"9,0",87 kg.,"3,10 Kr.","3,10 Kr.",10-11-2020,Thyborøn
Rødspætter,"1,0",1.693 kg.,"33,05 Kr.","34,88 Kr.",10-11-2020,Thyborøn
Rødspætter,"2,0",4.047 kg.,"27,98 Kr.","37,53 Kr.",10-11-2020,Thyborøn
Rødspætter,"3,0",6.784 kg.,"20,19 Kr.","26,77 Kr.",10-11-2020,Thyborøn
Rødspætter,"4,0",17.004 kg.,"15,24 Kr.","15,85 Kr.",10-11-2020,Thyborøn
Rødspætter,"9,0",1 kg.,"6,90 Kr.","6,90 Kr.",10-11-2020,Thyborøn
Rødtunger,"1,0",17 kg.,"60,78 Kr.","66,80 Kr.",10-11-2020,Thyborøn
Rødtunger,"2,0",1.102 kg.,"47,75 Kr.","53,30 Kr.",10-11-2020,Thyborøn
Rødtunger,"3,0",4.031 kg.,"23,72 Kr.","24,34 Kr.",10-11-2020,Thyborøn
Sankt Peters fisk,"9,0",4 kg.,"41,00 Kr.","42,10 Kr.",10-11-2020,Thyborøn
Skægtorsk,"6,0",2 kg.,"2,00 Kr.","2,00 Kr.",10-11-2020,Thyborøn
Skærising,"1,0",10 kg.,"40,02 Kr.","42,60 Kr.",10-11-2020,Thyborøn
Skærising,"2,0",16 kg.,"31,40 Kr.","32,00 Kr.",10-11-2020,Thyborøn
Skærising,"3,0",3 kg.,"3,00 Kr.","3,00 Kr.",10-11-2020,Thyborøn
Slethvar,"0,0",39 kg.,"66,35 Kr.","66,90 Kr.",10-11-2020,Thyborøn
Slethvar,"1,0",388 kg.,"52,84 Kr.","61,50 Kr.",10-11-2020,Thyborøn
Slethvar,"2,0",335 kg.,"33,74 Kr.","36,40 Kr.",10-11-2020,Thyborøn
Småplettet rokke,"9,0",623 kg.,"9,74 Kr.","12,61 Kr.",10-11-2020,Thyborøn
Storplettet Rokke,"9,0",73 kg.,"8,15 Kr.","8,20 Kr.",10-11-2020,Thyborøn
Taskekrabber,"9,0",26 kg.,"2,80 Kr.","2,80 Kr.",10-11-2020,Thyborøn
Torsk,"0,0",139 kg.,"52,43 Kr.","52,76 Kr.",10-11-2020,Thyborøn
Torsk,"1,0",971 kg.,"55,70 Kr.","57,36 Kr.",10-11-2020,Thyborøn
Torsk,"2,0",1.848 kg.,"47,75 Kr.","51,29 Kr.",10-11-2020,Thyborøn
Torsk,"3,0",1.692 kg.,"38,26 Kr.","41,48 Kr.",10-11-2020,Thyborøn
Torsk,"4,0",4.037 kg.,"27,82 Kr.","33,38 Kr.",10-11-2020,Thyborøn
Torsk,"5,0",5.215 kg.,"19,20 Kr.","26,68 Kr.",10-11-2020,Thyborøn
Tunger,"1,0",124 kg.,"101,08 Kr.","115,30 Kr.",10-11-2020,Thyborøn
Tunger,"2,0",130 kg.,"82,54 Kr.","94,10 Kr.",10-11-2020,Thyborøn
Tunger,"3,0",82 kg.,"77,75 Kr.","77,80 Kr.",10-11-2020,Thyborøn
Tunger,"4,0",70 kg.,"50,65 Kr.","50,80 Kr.",10-11-2020,Thyborøn
Tunger,"5,0",127 kg.,"27,50 Kr.","30,00 Kr.",10-11-2020,Thyborøn
Alm hummer,"1,0",17 kg.,"115,02 Kr.","118,40 Kr.",11-11-2020,Thyborøn
Alm hummer,"2,0",16 kg.,"134,46 Kr.","134,70 Kr.",11-11-2020,Thyborøn
Alm hummer,"9,0",7 kg.,"86,90 Kr.","86,90 Kr.",11-11-2020,Thyborøn
Blæksprutte Ottearmet,"4,0",63 kg.,"21,23 Kr.","23,36 Kr.",11-11-2020,Thyborøn
Blæksprutter,"9,0",968 kg.,"13,46 Kr.","23,20 Kr.",11-11-2020,Thyborøn
Brosme,"9,0",12 kg.,"17,35 Kr.","17,35 Kr.",11-11-2020,Thyborøn
Fjæsing,"9,0",10 kg.,"16,10 Kr.","16,10 Kr.",11-11-2020,Thyborøn
Glashvarre,"9,0",26 kg.,"25,50 Kr.","25,50 Kr.",11-11-2020,Thyborøn
Grå knurhaner,"9,0",32 kg.,"2,20 Kr.","2,20 Kr.",11-11-2020,Thyborøn
Havkat,"1,0",60 kg.,"45,38 Kr.","45,50 Kr.",11-11-2020,Thyborøn
Havkat,"2,0",218 kg.,"37,63 Kr.","41,60 Kr.",11-11-2020,Thyborøn
Havkat,"3,0",93 kg.,"15,52 Kr.","21,20 Kr.",11-11-2020,Thyborøn
Havtaske,"1,0",178 kg.,"30,56 Kr.","32,38 Kr.",11-11-2020,Thyborøn
Havtaske,"2,0",569 kg.,"38,60 Kr.","40,00 Kr.",11-11-2020,Thyborøn
Havtaske,"3,0",679 kg.,"43,27 Kr.","43,86 Kr.",11-11-2020,Thyborøn
Havtaske,"4,0",413 kg.,"31,09 Kr.","31,81 Kr.",11-11-2020,Thyborøn
Havtaske,"5,0",95 kg.,"18,60 Kr.","18,60 Kr.",11-11-2020,Thyborøn
Havtaske,"9,0",101 kg.,"30,13 Kr.","30,48 Kr.",11-11-2020,Thyborøn
Havtaske u/h,"1,0",12 kg.,"84,80 Kr.","84,80 Kr.",11-11-2020,Thyborøn
Havtaske u/h,"2,0",16 kg.,"92,70 Kr.","92,70 Kr.",11-11-2020,Thyborøn
Havtaske u/h,"3,0",95 kg.,"93,53 Kr.","94,10 Kr.",11-11-2020,Thyborøn
Havtaske u/h,"4,0",368 kg.,"70,42 Kr.","72,40 Kr.",11-11-2020,Thyborøn
Havtaske u/h,"5,0",229 kg.,"53,45 Kr.","53,80 Kr.",11-11-2020,Thyborøn
Helleflynder,"1,0",94 kg.,"77,03 Kr.","82,00 Kr.",11-11-2020,Thyborøn
Helleflynder,"2,0",16 kg.,"77,70 Kr.","77,70 Kr.",11-11-2020,Thyborøn
Helleflynder,"3,0",26 kg.,"78,48 Kr.","83,70 Kr.",11-11-2020,Thyborøn
Helleflynder,"4,0",8 kg.,"70,88 Kr.","80,10 Kr.",11-11-2020,Thyborøn
Helleflynder,"5,0",2 kg.,"57,10 Kr.","57,10 Kr.",11-11-2020,Thyborøn
Hvilling,"1,0",10 kg.,"6,00 Kr.","6,00 Kr.",11-11-2020,Thyborøn
Hvilling,"2,0",39 kg.,"14,70 Kr.","14,70 Kr.",11-11-2020,Thyborøn
Hvilling,"3,0",114 kg.,"5,50 Kr.","5,50 Kr.",11-11-2020,Thyborøn
Hvilling,"9,0",510 kg.,"12,97 Kr.","16,07 Kr.",11-11-2020,Thyborøn
Ising,"1,0",112 kg.,"14,35 Kr.","14,51 Kr.",11-11-2020,Thyborøn
Ising,"2,0",318 kg.,"10,77 Kr.","10,96 Kr.",11-11-2020,Thyborøn
Knurhaner,"2,0",6 kg.,"5,20 Kr.","5,20 Kr.",11-11-2020,Thyborøn
Knurhaner,"3,0",10 kg.,"3,20 Kr.","3,20 Kr.",11-11-2020,Thyborøn
Knurhaner,"9,0",30 kg.,"5,30 Kr.","5,80 Kr.",11-11-2020,Thyborøn
Krabbeklør,"1,0",72 kg.,"69,08 Kr.","76,10 Kr.",11-11-2020,Thyborøn
Krabbeklør,"2,0",75 kg.,"22,47 Kr.","25,10 Kr.",11-11-2020,Thyborøn
Krabbeklør,"3,0",44 kg.,"4,91 Kr.","5,10 Kr.",11-11-2020,Thyborøn
Kuller,"1,0",676 kg.,"27,62 Kr.","30,07 Kr.",11-11-2020,Thyborøn
Kuller,"2,0",1.565 kg.,"18,17 Kr.","20,61 Kr.",11-11-2020,Thyborøn
Kuller,"3,0",1.124 kg.,"7,61 Kr.","8,42 Kr.",11-11-2020,Thyborøn
Kuller,"4,0",160 kg.,"3,56 Kr.","3,56 Kr.",11-11-2020,Thyborøn
Kulmule,"0,0",175 kg.,"62,15 Kr.","69,74 Kr.",11-11-2020,Thyborøn
Kulmule,"1,0",305 kg.,"40,14 Kr.","51,74 Kr.",11-11-2020,Thyborøn
Kulmule,"2,0",975 kg.,"31,42 Kr.","39,72 Kr.",11-11-2020,Thyborøn
Kulmule,"3,0",225 kg.,"18,36 Kr.","19,58 Kr.",11-11-2020,Thyborøn
Kulmule,"9,0",32 kg.,"12,38 Kr.","13,09 Kr.",11-11-2020,Thyborøn
Langer,"1,0",397 kg.,"21,51 Kr.","24,38 Kr.",11-11-2020,Thyborøn
Langer,"2,0",428 kg.,"20,59 Kr.","26,83 Kr.",11-11-2020,Thyborøn
Langer,"3,0",714 kg.,"17,86 Kr.","21,45 Kr.",11-11-2020,Thyborøn
Langer,"9,0",34 kg.,"17,61 Kr.","17,61 Kr.",11-11-2020,Thyborøn
Lyssej,"2,0",106 kg.,"30,48 Kr.","30,74 Kr.",11-11-2020,Thyborøn
Lyssej,"3,0",359 kg.,"27,99 Kr.","28,68 Kr.",11-11-2020,Thyborøn
Lyssej,"4,0",56 kg.,"23,77 Kr.","24,58 Kr.",11-11-2020,Thyborøn
Mørksej,"1,0",496 kg.,"16,06 Kr.","17,08 Kr.",11-11-2020,Thyborøn
Mørksej,"2,0",784 kg.,"16,99 Kr.","18,71 Kr.",11-11-2020,Thyborøn
Mørksej,"3,0",5.339 kg.,"14,10 Kr.","15,32 Kr.",11-11-2020,Thyborøn
Mørksej,"4,0",13.720 kg.,"12,03 Kr.","12,79 Kr.",11-11-2020,Thyborøn
Pighaj,"2,0",4 kg.,"4,90 Kr.","4,90 Kr.",11-11-2020,Thyborøn
Pighvar,"0,0",10 kg.,"124,80 Kr.","124,80 Kr.",11-11-2020,Thyborøn
Pighvar,"1,0",79 kg.,"87,91 Kr.","100,00 Kr.",11-11-2020,Thyborøn
Pighvar,"2,0",50 kg.,"83,79 Kr.","96,50 Kr.",11-11-2020,Thyborøn
Pighvar,"3,0",124 kg.,"66,43 Kr.","76,30 Kr.",11-11-2020,Thyborøn
Pighvar,"4,0",52 kg.,"42,55 Kr.","45,80 Kr.",11-11-2020,Thyborøn
Pighvar,"9,0",3 kg.,"14,10 Kr.","14,10 Kr.",11-11-2020,Thyborøn
Rød mulle,"9,0",3 kg.,"35,00 Kr.","35,00 Kr.",11-11-2020,Thyborøn
Rødspætter,"1,0",756 kg.,"31,85 Kr.","33,34 Kr.",11-11-2020,Thyborøn
Rødspætter,"2,0",1.777 kg.,"26,69 Kr.","33,87 Kr.",11-11-2020,Thyborøn
Rødspætter,"3,0",2.839 kg.,"19,76 Kr.","20,30 Kr.",11-11-2020,Thyborøn
Rødspætter,"4,0",5.461 kg.,"15,22 Kr.","15,40 Kr.",11-11-2020,Thyborøn
Rødspætter,"9,0",8 kg.,"17,50 Kr.","17,50 Kr.",11-11-2020,Thyborøn
Rødtunger,"1,0",28 kg.,"54,01 Kr.","55,70 Kr.",11-11-2020,Thyborøn
Rødtunger,"2,0",857 kg.,"48,36 Kr.","52,00 Kr.",11-11-2020,Thyborøn
Rødtunger,"3,0",2.259 kg.,"22,79 Kr.","23,10 Kr.",11-11-2020,Thyborøn
Rødtunger,"9,0",30 kg.,"35,75 Kr.","37,90 Kr.",11-11-2020,Thyborøn
Skælbrosme,"9,0",16 kg.,"7,98 Kr.","7,98 Kr.",11-11-2020,Thyborøn
Skærising,"1,0",133 kg.,"41,42 Kr.","45,20 Kr.",11-11-2020,Thyborøn
Skærising,"2,0",497 kg.,"27,31 Kr.","29,92 Kr.",11-11-2020,Thyborøn
Skærising,"3,0",132 kg.,"7,93 Kr.","9,35 Kr.",11-11-2020,Thyborøn
Slethvar,"0,0",17 kg.,"71,80 Kr.","71,80 Kr.",11-11-2020,Thyborøn
Slethvar,"1,0",157 kg.,"53,35 Kr.","61,10 Kr.",11-11-2020,Thyborøn
Slethvar,"2,0",121 kg.,"30,18 Kr.","30,20 Kr.",11-11-2020,Thyborøn
Slethvar,"9,0",10 kg.,"31,74 Kr.","36,30 Kr.",11-11-2020,Thyborøn
Småplettet rokke,"9,0",45 kg.,"5,10 Kr.","5,10 Kr.",11-11-2020,Thyborøn
Storplettet Rokke,"9,0",34 kg.,"6,50 Kr.","6,50 Kr.",11-11-2020,Thyborøn
Taskekrabber,"9,0",59 kg.,"4,76 Kr.","4,87 Kr.",11-11-2020,Thyborøn
Torsk,"0,0",324 kg.,"49,48 Kr.","58,96 Kr.",11-11-2020,Thyborøn
Torsk,"1,0",1.044 kg.,"50,21 Kr.","57,35 Kr.",11-11-2020,Thyborøn
Torsk,"2,0",2.461 kg.,"44,96 Kr.","54,62 Kr.",11-11-2020,Thyborøn
Torsk,"3,0",3.460 kg.,"34,93 Kr.","43,29 Kr.",11-11-2020,Thyborøn
Torsk,"4,0",6.343 kg.,"24,33 Kr.","27,92 Kr.",11-11-2020,Thyborøn
Torsk,"5,0",3.585 kg.,"19,27 Kr.","23,87 Kr.",11-11-2020,Thyborøn
Torsk,"9,0",9 kg.,"16,14 Kr.","16,14 Kr.",11-11-2020,Thyborøn
Torskerogn,"9,0",15 kg.,"65,00 Kr.","65,00 Kr.",11-11-2020,Thyborøn
Tunger,"1,0",48 kg.,"101,18 Kr.","118,60 Kr.",11-11-2020,Thyborøn
Tunger,"2,0",32 kg.,"78,85 Kr.","88,00 Kr.",11-11-2020,Thyborøn
Tunger,"3,0",15 kg.,"62,70 Kr.","62,70 Kr.",11-11-2020,Thyborøn
Tunger,"4,0",10 kg.,"44,00 Kr.","44,00 Kr.",11-11-2020,Thyborøn
Tunger,"5,0",4 kg.,"27,20 Kr.","27,20 Kr.",11-11-2020,Thyborøn
Alm hummer,"1,0",2 kg.,"124,45 Kr.","126,90 Kr.",12-11-2020,Thyborøn
Alm hummer,"2,0",1 kg.,"122,50 Kr.","122,50 Kr.",12-11-2020,Thyborøn
Alm hummer,"9,0",1 kg.,"13,00 Kr.","13,00 Kr.",12-11-2020,Thyborøn
Blæksprutte Ottearmet,"4,0",5 kg.,"8,80 Kr.","8,80 Kr.",12-11-2020,Thyborøn
Blæksprutter,"9,0",1.544 kg.,"14,71 Kr.","15,90 Kr.",12-11-2020,Thyborøn
Brosme,"9,0",32 kg.,"17,20 Kr.","17,20 Kr.",12-11-2020,Thyborøn
Fjæsing,"9,0",43 kg.,"18,40 Kr.","19,30 Kr.",12-11-2020,Thyborøn
Glashvarre,"9,0",559 kg.,"45,75 Kr.","48,20 Kr.",12-11-2020,Thyborøn
Havkat,"1,0",6 kg.,"47,00 Kr.","47,00 Kr.",12-11-2020,Thyborøn
Havkat,"2,0",57 kg.,"38,55 Kr.","42,60 Kr.",12-11-2020,Thyborøn
Havkat,"3,0",16 kg.,"12,00 Kr.","12,00 Kr.",12-11-2020,Thyborøn
Havkat,"9,0",4 kg.,"27,60 Kr.","27,60 Kr.",12-11-2020,Thyborøn
Havtaske,"1,0",141 kg.,"31,53 Kr.","32,39 Kr.",12-11-2020,Thyborøn
Havtaske,"2,0",418 kg.,"39,45 Kr.","41,80 Kr.",12-11-2020,Thyborøn
Havtaske,"3,0",842 kg.,"40,97 Kr.","43,30 Kr.",12-11-2020,Thyborøn
Havtaske,"4,0",782 kg.,"29,79 Kr.","30,47 Kr.",12-11-2020,Thyborøn
Havtaske,"5,0",230 kg.,"17,99 Kr.","18,47 Kr.",12-11-2020,Thyborøn
Havtaske u/h,"4,0",12 kg.,"70,00 Kr.","70,00 Kr.",12-11-2020,Thyborøn
Havtaske u/h,"5,0",4 kg.,"53,90 Kr.","53,90 Kr.",12-11-2020,Thyborøn
Helleflynder,"1,0",5 kg.,"79,00 Kr.","79,00 Kr.",12-11-2020,Thyborøn
Helleflynder,"2,0",8 kg.,"82,60 Kr.","82,60 Kr.",12-11-2020,Thyborøn
Helleflynder,"3,0",1 kg.,"47,50 Kr.","47,50 Kr.",12-11-2020,Thyborøn
Helleflynder,"4,0",9 kg.,"73,51 Kr.","77,60 Kr.",12-11-2020,Thyborøn
Helleflynder,"5,0",3 kg.,"60,60 Kr.","60,60 Kr.",12-11-2020,Thyborøn
Hvilling,"1,0",589 kg.,"16,22 Kr.","16,83 Kr.",12-11-2020,Thyborøn
Hvilling,"2,0",165 kg.,"8,57 Kr.","10,48 Kr.",12-11-2020,Thyborøn
Ising,"1,0",1.309 kg.,"17,31 Kr.","19,87 Kr.",12-11-2020,Thyborøn
Ising,"2,0",1.058 kg.,"11,75 Kr.","13,45 Kr.",12-11-2020,Thyborøn
Jomfruhummer,"9,0",120 kg.,"46,80 Kr.","57,50 Kr.",12-11-2020,Thyborøn
Knurhaner,"1,0",11 kg.,"23,56 Kr.","24,00 Kr.",12-11-2020,Thyborøn
Knurhaner,"2,0",68 kg.,"10,64 Kr.","16,30 Kr.",12-11-2020,Thyborøn
Knurhaner,"3,0",86 kg.,"2,86 Kr.","4,20 Kr.",12-11-2020,Thyborøn
Knurhaner,"9,0",6 kg.,"12,80 Kr.","12,80 Kr.",12-11-2020,Thyborøn
Krabbeklør,"1,0",125 kg.,"55,29 Kr.","66,10 Kr.",12-11-2020,Thyborøn
Krabbeklør,"2,0",91 kg.,"27,33 Kr.","36,40 Kr.",12-11-2020,Thyborøn
Krabbeklør,"3,0",3 kg.,"2,60 Kr.","2,60 Kr.",12-11-2020,Thyborøn
Krabbeklør,"9,0",6 kg.,"20,80 Kr.","25,90 Kr.",12-11-2020,Thyborøn
Kuller,"1,0",596 kg.,"28,63 Kr.","29,10 Kr.",12-11-2020,Thyborøn
Kuller,"2,0",401 kg.,"15,32 Kr.","18,01 Kr.",12-11-2020,Thyborøn
Kuller,"3,0",757 kg.,"7,32 Kr.","8,11 Kr.",12-11-2020,Thyborøn
Kuller,"4,0",149 kg.,"2,93 Kr.","3,00 Kr.",12-11-2020,Thyborøn
Kuller,"9,0",3 kg.,"3,80 Kr.","3,80 Kr.",12-11-2020,Thyborøn
Kulmule,"0,0",1.706 kg.,"63,62 Kr.","77,99 Kr.",12-11-2020,Thyborøn
Kulmule,"1,0",2.586 kg.,"43,74 Kr.","53,49 Kr.",12-11-2020,Thyborøn
Kulmule,"2,0",6.713 kg.,"33,29 Kr.","37,17 Kr.",12-11-2020,Thyborøn
Kulmule,"3,0",1.365 kg.,"19,37 Kr.","22,98 Kr.",12-11-2020,Thyborøn
Kulmule,"9,0",342 kg.,"13,22 Kr.","14,60 Kr.",12-11-2020,Thyborøn
Langer,"1,0",281 kg.,"17,12 Kr.","17,12 Kr.",12-11-2020,Thyborøn
Langer,"2,0",202 kg.,"17,85 Kr.","19,11 Kr.",12-11-2020,Thyborøn
Langer,"3,0",702 kg.,"15,31 Kr.","15,80 Kr.",12-11-2020,Thyborøn
Lyssej,"1,0",10 kg.,"38,00 Kr.","38,00 Kr.",12-11-2020,Thyborøn
Lyssej,"2,0",70 kg.,"31,77 Kr.","33,20 Kr.",12-11-2020,Thyborøn
Lyssej,"3,0",120 kg.,"27,03 Kr.","27,30 Kr.",12-11-2020,Thyborøn
Lyssej,"4,0",207 kg.,"20,10 Kr.","20,80 Kr.",12-11-2020,Thyborøn
Makrel,"9,0",4 kg.,"18,30 Kr.","18,30 Kr.",12-11-2020,Thyborøn
Mørksej,"1,0",57 kg.,"19,80 Kr.","19,80 Kr.",12-11-2020,Thyborøn
Mørksej,"2,0",204 kg.,"19,77 Kr.","19,87 Kr.",12-11-2020,Thyborøn
Mørksej,"3,0",4.914 kg.,"13,60 Kr.","14,38 Kr.",12-11-2020,Thyborøn
Mørksej,"4,0",5.929 kg.,"12,10 Kr.","12,26 Kr.",12-11-2020,Thyborøn
Pighvar,"0,0",109 kg.,"99,57 Kr.","110,40 Kr.",12-11-2020,Thyborøn
Pighvar,"1,0",198 kg.,"90,56 Kr.","103,40 Kr.",12-11-2020,Thyborøn
Pighvar,"2,0",200 kg.,"78,78 Kr.","92,70 Kr.",12-11-2020,Thyborøn
Pighvar,"3,0",726 kg.,"59,06 Kr.","73,80 Kr.",12-11-2020,Thyborøn
Pighvar,"4,0",397 kg.,"36,35 Kr.","46,90 Kr.",12-11-2020,Thyborøn
Pighvar,"9,0",23 kg.,"22,66 Kr.","24,70 Kr.",12-11-2020,Thyborøn
"Pighvar,ind.farv.","2,0",4 kg.,"45,20 Kr.","45,20 Kr.",12-11-2020,Thyborøn
"Pighvar,ind.farv.","3,0",38 kg.,"45,20 Kr.","45,20 Kr.",12-11-2020,Thyborøn
"Pighvar,ind.farv.","4,0",120 kg.,"28,02 Kr.","28,02 Kr.",12-11-2020,Thyborøn
Rød mulle,"9,0",5 kg.,"42,00 Kr.","42,00 Kr.",12-11-2020,Thyborøn
"Rødsp, indr farv.","1,0",218 kg.,"18,00 Kr.","18,00 Kr.",12-11-2020,Thyborøn
"Rødsp, indr farv.","2,0",1.015 kg.,"18,00 Kr.","18,00 Kr.",12-11-2020,Thyborøn
"Rødsp, indr farv.","3,0",2.409 kg.,"15,00 Kr.","15,00 Kr.",12-11-2020,Thyborøn
"Rødsp, indr farv.","4,0",1.421 kg.,"13,00 Kr.","13,00 Kr.",12-11-2020,Thyborøn
Rødspætter,"1,0",5.273 kg.,"31,63 Kr.","33,77 Kr.",12-11-2020,Thyborøn
Rødspætter,"2,0",5.968 kg.,"27,88 Kr.","32,31 Kr.",12-11-2020,Thyborøn
Rødspætter,"3,0",6.492 kg.,"18,63 Kr.","20,76 Kr.",12-11-2020,Thyborøn
Rødspætter,"4,0",9.822 kg.,"14,81 Kr.","15,46 Kr.",12-11-2020,Thyborøn
Rødspætter,"9,0",6 kg.,"20,60 Kr.","20,60 Kr.",12-11-2020,Thyborøn
Rødspætter Discard,"9,0",27 kg.,"0,10 Kr.","0,10 Kr.",12-11-2020,Thyborøn
Rødtunger,"1,0",164 kg.,"63,75 Kr.","68,30 Kr.",12-11-2020,Thyborøn
Rødtunger,"2,0",1.002 kg.,"47,71 Kr.","58,40 Kr.",12-11-2020,Thyborøn
Rødtunger,"3,0",1.267 kg.,"22,77 Kr.","27,40 Kr.",12-11-2020,Thyborøn
Sankt Peters fisk,"9,0",6 kg.,"30,00 Kr.","30,00 Kr.",12-11-2020,Thyborøn
"Skrubber,ind. farv.","9,0",16.800 kg.,"2,60 Kr.","2,60 Kr.",12-11-2020,Thyborøn
Skærising,"1,0",38 kg.,"33,80 Kr.","34,80 Kr.",12-11-2020,Thyborøn
Skærising,"2,0",84 kg.,"19,70 Kr.","24,60 Kr.",12-11-2020,Thyborøn
Skærising,"3,0",11 kg.,"8,00 Kr.","8,00 Kr.",12-11-2020,Thyborøn
Skærising,"9,0",3 kg.,"11,20 Kr.","11,20 Kr.",12-11-2020,Thyborøn
Slethvar,"0,0",110 kg.,"64,51 Kr.","71,30 Kr.",12-11-2020,Thyborøn
Slethvar,"1,0",274 kg.,"49,26 Kr.","51,90 Kr.",12-11-2020,Thyborøn
Slethvar,"2,0",377 kg.,"28,03 Kr.","30,10 Kr.",12-11-2020,Thyborøn
Småplettet rokke,"9,0",41 kg.,"1,70 Kr.","1,70 Kr.",12-11-2020,Thyborøn
Storplettet Rokke,"9,0",32 kg.,"3,10 Kr.","3,10 Kr.",12-11-2020,Thyborøn
Taskekrabber,"9,0",31 kg.,"6,35 Kr.","6,35 Kr.",12-11-2020,Thyborøn
Torsk,"0,0",218 kg.,"46,23 Kr.","46,75 Kr.",12-11-2020,Thyborøn
Torsk,"1,0",245 kg.,"47,96 Kr.","50,72 Kr.",12-11-2020,Thyborøn
Torsk,"2,0",784 kg.,"46,44 Kr.","48,52 Kr.",12-11-2020,Thyborøn
Torsk,"3,0",1.030 kg.,"33,79 Kr.","35,50 Kr.",12-11-2020,Thyborøn
Torsk,"4,0",3.352 kg.,"24,89 Kr.","30,49 Kr.",12-11-2020,Thyborøn
Torsk,"5,0",2.409 kg.,"19,07 Kr.","23,62 Kr.",12-11-2020,Thyborøn
Torsk,"9,0",11 kg.,"18,40 Kr.","18,40 Kr.",12-11-2020,Thyborøn
"Torsk, indr. farv.","2,0",4 kg.,"22,83 Kr.","22,83 Kr.",12-11-2020,Thyborøn
"Torsk, indr. farv.","3,0",394 kg.,"28,88 Kr.","28,88 Kr.",12-11-2020,Thyborøn
"Torsk, indr. farv.","4,0",2.077 kg.,"20,67 Kr.","24,37 Kr.",12-11-2020,Thyborøn
"Torsk, indr. farv.","5,0",6.274 kg.,"15,10 Kr.","15,53 Kr.",12-11-2020,Thyborøn
Tunger,"1,0",180 kg.,"101,99 Kr.","114,40 Kr.",12-11-2020,Thyborøn
Tunger,"2,0",86 kg.,"80,78 Kr.","85,00 Kr.",12-11-2020,Thyborøn
Tunger,"3,0",61 kg.,"52,77 Kr.","60,00 Kr.",12-11-2020,Thyborøn
Tunger,"4,0",43 kg.,"46,60 Kr.","46,60 Kr.",12-11-2020,Thyborøn
